Player,Position,Age,Status,Club,League,season_name,TransferType,Amount
Reiss Nelson,Right Winger,22,In,Feyenoord,Eredivisie,2022-2023,End of loan,0
Auston Trusty,Centre-Back,23,In,Colorado,MLS,2022-2023,End of loan,0
Rúnar Alex Rúnarsson,Goalkeeper,27,In,OH Leuven,Jupiler Pro League,2022-2023,End of loan,0
Oleksandr Zinchenko,Left-Back,25,In,Man City,Premier League,2022-2023,Transfer,35000000
Jakub Kiwior,Centre-Back,22,In,Spezia Calcio,Serie A,2022-2023,Transfer,25000000
Jorginho,Defensive Midfield,31,In,Chelsea,Premier League,2022-2023,Transfer,11300000
Marquinhos,Right Winger,19,In,São Paulo,Série A,2022-2023,Transfer,3500000
Karl Hein,Goalkeeper,20,In,Arsenal U21,Premier League 2,2022-2023,-,0
Mattéo Guendouzi,Central Midfield,23,In,Marseille,Ligue 1,2022-2023,End of loan,0
Lucas Torreira,Defensive Midfield,26,In,Fiorentina,Serie A,2022-2023,End of loan,0
Albert Sambi Lokonga,Central Midfield,23,In,Crystal Palace,Premier League,2022-2023,End of loan,0
Ainsley Maitland-Niles,Central Midfield,24,In,AS Roma,Serie A,2022-2023,End of loan,0
Ainsley Maitland-Niles,Central Midfield,25,In,Southampton,Premier League,2022-2023,End of loan,0
Pablo Marí,Centre-Back,28,In,Udinese Calcio,Serie A,2022-2023,End of loan,0
Arthur Okonkwo,Goalkeeper,21,In,Crewe Alexandra,League Two,2022-2023,End of loan,0
Folarin Balogun,Centre-Forward,22,Out,Monaco,Ligue 1,2023-2024,Transfer,30000000
Matt Turner,Goalkeeper,29,Out,Nottm Forest,Premier League,2023-2024,Transfer,8150000
Pablo Marí,Centre-Back,29,Out,Monza,Serie A,2023-2024,Transfer,4900000
Rob Holding,Centre-Back,27,Out,Crystal Palace,Premier League,2023-2024,Transfer,1200000
Marquinhos,Right Winger,20,Out,FC Nantes,Ligue 1,2023-2024,Loan,300000
Ainsley Maitland-Niles,Central Midfield,25,Out,Olympique Lyon,Ligue 1,2023-2024,Transfer,0
Albert Sambi Lokonga,Central Midfield,23,Out,Luton,Premier League,2023-2024,Loan,0
Rúnar Alex Rúnarsson,Goalkeeper,28,Out,Cardiff,Championship,2023-2024,Loan,0
Granit Xhaka,Defensive Midfield,30,Out,B. Leverkusen,Bundesliga,2023-2024,Transfer,15000000
Auston Trusty,Centre-Back,24,Out,Sheff Utd,Premier League,2023-2024,Transfer,5800000
Kieran Tierney,Left-Back,26,Out,Real Sociedad,LaLiga,2023-2024,Loan,1400000
Nuno Tavares,Left-Back,23,Out,Nottm Forest,Premier League,2023-2024,Loan,1150000
Nicolas Pépé,Right Winger,28,Out,Trabzonspor,Süper Lig,2023-2024,Transfer,0
Rúnar Alex Rúnarsson,Goalkeeper,28,Out,FC Copenhagen,Superliga,2023-2024,Transfer,0
Arthur Okonkwo,Goalkeeper,21,Out,Wrexham,League Two,2023-2024,Loan,0
Declan Rice,Defensive Midfield,24,In,West Ham,Premier League,2023-2024,Transfer,116600000
Jurrien Timber,Centre-Back,22,In,Ajax,Eredivisie,2023-2024,Transfer,40000000
Folarin Balogun,Centre-Forward,21,In,Stade Reims,Ligue 1,2023-2024,End of loan,0
Nuno Tavares,Left-Back,23,In,Marseille,Ligue 1,2023-2024,End of loan,0
Marquinhos,Right Winger,20,In,FC Nantes,Ligue 1,2023-2024,End of loan,0
Cédric Soares,Right-Back,31,In,Fulham,Premier League,2023-2024,End of loan,0
Arthur Okonkwo,Goalkeeper,22,In,Wrexham,League Two,2023-2024,End of loan,0
Rúnar Alex Rúnarsson,Goalkeeper,28,In,Cardiff,Championship,2023-2024,End of loan,0
Kai Havertz,Attacking Midfield,24,In,Chelsea,Premier League,2023-2024,Transfer,75000000
David Raya,Goalkeeper,27,In,Brentford,Premier League,2023-2024,Loan,3340000
Nicolas Pépé,Right Winger,28,In,OGC Nice,Ligue 1,2023-2024,End of loan,0
Albert Sambi Lokonga,Central Midfield,24,In,Luton,Premier League,2023-2024,End of loan,0
Pablo Marí,Centre-Back,29,In,Monza,Serie A,2023-2024,End of loan,0
Arthur Okonkwo,Goalkeeper,21,In,Sturm Graz,Bundesliga,2023-2024,End of loan,0
Rúnar Alex Rúnarsson,Goalkeeper,28,In,Alanyaspor,Süper Lig,2023-2024,End of loan,0
Charles Sagoe Jr,Left Winger,19,In,Swansea,Championship,2023-2024,End of loan,0
